username,userId,entryTitle,entryTitleId,entryId,entry,entryDate
almashan,1362151,8 kasım 2017 devlet bahçeli'nin baraj açıklaması,5493331,71970633,yarın mhp yi bırakıp akp ye geçmezse bende bişey bilmiyorum. ideolojisini beğenirsin beğenmezsin ama yılların milliyetçi hareket partisini taraflı tarafsız herkesin iğrendiği bir konuma sokup bitirdi. bu millet senin omurgasızlığını kolay kolay unutmayacak ( bu millet derken aklı vicdanı hürleri kastediyorum yanlış olmasın ),08.11.2017 14:01
almashan,1362151,tavuk dünyası,1381845,71905382,istinye şubesinde bana iteledikleri çiğ tavuğu geri yolladıktan sonra aynı tavukları dışını yakıp içi çiğ halde önüme getirdiler. ilk ve son gidişimdi dahada önünden geçmem.,05.11.2017 21:44
almashan,1362151,1 kasım 2017 beşiktaş monaco maçı,5440574,71813745,rahat rahat alacağımız maçı hoca ve futbolcuların el birliğiyle götümüzden soluya soluya zar zor berabere bitirdik allahtan adamlar kazanmamaya and içerek gelmişler amk yoksa sittinsene puan alamazdık. ayrıca q7 senin ben amk halı sahamı lan orası oynayacağın topun ecdadını sikim sana sövmeye doyamam bugün,01.11.2017 22:00
almashan,1362151,1 kasım 2017 beşiktaş monaco maçı,5440574,71813381,bu maçı kaybedersek net söylüyorum şenol hoca yüzündendir.,01.11.2017 21:45
almashan,1362151,sabah 5'te uyananların sırrı,5305350,71784214,"anlatayım,akşamdan deve sidiğini oda sıcaklığında beklemeye bırakıyoruz sonra gece yatmadan önce 1 diş sarımsak bir tutam zencefil katıp bir dikişte içip yatıyorsunuz hoop 5 te ayaktasınız. ne sırrı amk vardiyalı çalışıyoruz işte mecbur sike sike kalkıyoruz",31.10.2017 17:33
almashan,1362151,sınavlarda alınmış komik notlar,4117651,71757866,"yıl 95...orta 2 tarih dersi, öğretmene nasıl gıcığım anlatamam bakışlarımla küfrediyorum ama cidden iğrenç ötesi bir kadındıya burnunu felan karıştırıyordu. süreklide yakalıyordu beni o şekilde bakarken bende gözü kaçırmak felanda yok ama aynen iğrenir şekilde gözünün içine içine çakıyordum. neyse;1. yazılı sınavı olduk 442. yazılı sınav yine 44 o zamanın sisteminde herhangi birisinden 45 alsam karneye 2 geliyor geçiyorum. dahası diğer derslerim hep 4-5 hayatımda ilk defa takdir alacaktım teşekkürdende oldum. bende kaşındım ama seninde amk allahın belası pislik kadın astronot olacaktım lan ben hayallerim vardı.edit:düzeltme",30.10.2017 16:16 ~ 16:26
almashan,1362151,olcay şahan,1988491,71738437,"vay amk caner yapınca fenerbahçeli olmuyor, ama olcay yapınca yine beşiktaşlı oluyor he. beşiktaşla yatıp beşiktaşlamı kalkıyorsunuz amklarım. maç ts vs gs ama küfürü yiyen yine beşiktaş çok enteresan bu kuyruk acınız cidden komikleşmeye başladı.",29.10.2017 20:37
almashan,1362151,the arrivals,2278645,71708538,"6-7 yıl önce izlemiştim verdiği bilgiler, karşılaştırmalar, yeni dünya düzeni hakkında öne sürdüğü iddialar gerçekten ilgimi çekmişti ama iş komplo teorilerine girdiğinde insan hadi lan demekten kendini alamıyordu. sonra geçenlerde (bkz: unacknowledged) isimli çıkış noktası farklı ama iddiaları aynı olan bir belgesel izledim. biri dini diğeri bilimsel temeller üzerine kurulu iki belgeselin aynı iddiaları desteklemesi kafamda deli sorular oluşmasına neden oldu. üstelik unacknowledged belgeseli iddialarını üst düzey emekli generaller ve resmi cia belgeleri ile destekliyor. valla ben inceden bu iddialara inanmaya başladım birbiriyle bu kadar alakasız insanlar birebir aynı iddiaları savunuyorsa gerçek olması ihtimal dahilindedir.",28.10.2017 14:06
almashan,1362151,caner erkin'e altı maç ceza verilmesi,5483064,71669807,şu ceza hangi takıma gelirse gelsin taraftarı adaletsizlikten yakınacaktı. karar doğru olabilir ama bu amk un federasyonu niye sadece beşiktaşa gelince doğruları yapası tutuyor onu sormak lazım asıl. bundan sonraki süreçte göreceğiz bakalım çifte standart var mı yok mu?,26.10.2017 19:56
almashan,1362151,rusya'nın fransa'yı haritadan silecek füze yapması,5481844,71633582,adamların hali hazırda dünyayı 2 sefer yok edebilecek atom/hidrojen bombası stoğu var hala yeni ve daha güçlülerini yapma peşindeler caydırıcılığı felan kalmadı artık bokunu çıkardılar iyice yokedin hepimizi sizde rahat edin bizde,25.10.2017 11:49 ~ 11:49
